Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo_Login,Chrome 110.0.0.0,,,2023-06-09 15:57:09,2023-06-09 15:57:46,36.420s,PASSED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Login_Data,Chrome 110.0.0.0,,,2023-06-09 15:57:10,2023-06-09 15:57:18,8.493s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 15:57:10,2023-06-09 15:57:11,1.757s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 110.0.0.0,,,2023-06-09 15:57:11,2023-06-09 15:57:12,0.525s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Accepted usernames arestandard_userlock_0ab16f""))",Chrome 110.0.0.0,,,2023-06-09 15:57:12,2023-06-09 15:57:12,0.373s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 110.0.0.0,,,2023-06-09 15:57:12,2023-06-09 15:57:13,0.939s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Password for all userssecret_sauce""))",Chrome 110.0.0.0,,,2023-06-09 15:57:13,2023-06-09 15:57:14,0.370s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 110.0.0.0,,,2023-06-09 15:57:14,2023-06-09 15:57:15,0.836s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 110.0.0.0,,,2023-06-09 15:57:15,2023-06-09 15:57:15,0.419s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-09 15:57:15,2023-06-09 15:57:18,3.024s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-09 15:57:18,2023-06-09 15:57:18,0.080s,PASSED
,,,,,,,
