Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-07 13:45:40,2023-06-07 13:46:02,21.405s,ERROR
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Addtocart,Chrome 110.0.0.0,,,2023-06-07 13:45:57,2023-06-07 13:46:02,4.907s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-07 13:45:57,2023-06-07 13:45:57,0.860s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-07 13:45:58,2023-06-07 13:45:58,0.429s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-07 13:45:58,2023-06-07 13:45:58,0.482s,PASSED
com.Saucedemo_Login.Login(),Chrome 110.0.0.0,,,2023-06-07 13:45:58,2023-06-07 13:46:00,1.866s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart""))",Chrome 110.0.0.0,,,2023-06-07 13:46:00,2023-06-07 13:46:01,0.589s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart_1""))",Chrome 110.0.0.0,,,2023-06-07 13:46:01,2023-06-07 13:46:01,0.572s,PASSED
goergoijpigjwngipjiweaw4,Chrome 110.0.0.0,,,2023-06-07 13:46:01,2023-06-07 13:46:01,0.005s,ERROR
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-07 13:46:01,2023-06-07 13:46:02,0.073s,PASSED
