Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/span_Company details""))",Chrome 110.0.0.0,,,2023-06-08 15:37:17,2023-06-08 15:37:36,19.230s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), Email2)",Chrome 110.0.0.0,,,2023-06-08 15:37:36,2023-06-08 15:37:37,1.070s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), ""value"", Email2, 0)",Chrome 110.0.0.0,,,2023-06-08 15:37:37,2023-06-08 15:37:38,0.576s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/button_Submit""))",Chrome 110.0.0.0,,,2023-06-08 15:37:38,2023-06-08 15:37:38,0.278s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-06-08 15:37:38,2023-06-08 15:37:43,5.002s,PASSED
"verifyTextPresent(""Thank you for your request."", false)",Chrome 110.0.0.0,,,2023-06-08 15:37:43,2023-06-08 15:37:44,0.606s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-08 15:37:44,2023-06-08 15:37:46,2.002s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-08 15:37:46,2023-06-08 15:37:46,0.086s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-08 15:37:46,2023-06-08 15:37:46,0.004s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Addtocart,Chrome 110.0.0.0,,,2023-06-08 15:37:46,2023-06-08 15:38:17,30.903s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-08 15:37:46,2023-06-08 15:37:52,5.860s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-08 15:37:52,2023-06-08 15:37:52,0.432s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-08 15:37:52,2023-06-08 15:37:58,5.477s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-08 15:37:58,2023-06-08 15:38:00,2.246s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart""))",Chrome 110.0.0.0,,,2023-06-08 15:38:00,2023-06-08 15:38:00,0.586s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart_1""))",Chrome 110.0.0.0,,,2023-06-08 15:38:00,2023-06-08 15:38:01,0.568s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/a_2""))",Chrome 110.0.0.0,,,2023-06-08 15:38:01,2023-06-08 15:38:02,0.571s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Remove""))",Chrome 110.0.0.0,,,2023-06-08 15:38:02,2023-06-08 15:38:02,0.569s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Checkout""))",Chrome 110.0.0.0,,,2023-06-08 15:38:02,2023-06-08 15:38:03,0.576s,PASSED
"verifyTextPresent(""Checkout: Your Information"", false)",Chrome 110.0.0.0,,,2023-06-08 15:38:03,2023-06-08 15:38:03,0.441s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_firstName""), Firstname)",Chrome 110.0.0.0,,,2023-06-08 15:38:03,2023-06-08 15:38:04,0.806s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_firstName""), ""value"", Firstname, 1)",Chrome 110.0.0.0,,,2023-06-08 15:38:04,2023-06-08 15:38:04,0.452s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_lastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-08 15:38:04,2023-06-08 15:38:05,0.823s,PASSED
