Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-09 16:52:09,2023-06-09 16:53:41,1m - 32.078s,PASSED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-09 16:52:09,2023-06-09 16:52:55,46.137s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 16:52:09,2023-06-09 16:52:11,2.054s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-09 16:52:11,2023-06-09 16:52:12,0.504s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-06-09 16:52:12,2023-06-09 16:52:12,0.121s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-09 16:52:12,2023-06-09 16:52:12,0.463s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-09 16:52:12,2023-06-09 16:52:15,2.358s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-09 16:52:15,2023-06-09 16:52:18,3.023s,PASSED
"getUrl().equals(""https://www.saucedemo.com/inventory.html"")",Chrome 110.0.0.0,,,2023-06-09 16:52:18,2023-06-09 16:52:18,0.015s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-09 16:52:18,2023-06-09 16:52:18,0.430s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-09 16:52:18,2023-06-09 16:52:19,0.482s,PASSED
