Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-08 15:41:28,2023-06-08 15:43:45,2m - 16.804s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-08 15:42:28,2023-06-08 15:43:24,55.459s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-08 15:42:28,2023-06-08 15:42:29,0.949s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-08 15:42:29,2023-06-08 15:42:30,0.429s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-08 15:42:30,2023-06-08 15:42:30,0.477s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-08 15:42:30,2023-06-08 15:42:32,1.982s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-08 15:42:32,2023-06-08 15:42:34,2.003s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-08 15:42:34,2023-06-08 15:42:35,0.346s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-08 15:42:35,2023-06-08 15:42:35,0.364s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-08 15:42:35,2023-06-08 15:42:42,7.476s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Sauce Labs Cross Browser Testing, Sele_e8ee84/button_Request a demo""))",Chrome 110.0.0.0,,,2023-06-08 15:42:42,2023-06-08 15:42:44,1.910s,PASSED
"setText(findTestObject(""Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__FirstName""), Firstname)",Chrome 110.0.0.0,,,2023-06-08 15:42:44,2023-06-08 15:42:53,8.998s,PASSED
"verifyElementAttributeValue(findTestObject(""Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__FirstName""), ""value"", Firstname, 1)",Chrome 110.0.0.0,,,2023-06-08 15:42:53,2023-06-08 15:42:54,0.875s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__LastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-08 15:42:54,2023-06-08 15:42:55,0.940s,PASSED
