Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Firefox 114.0,,,2023-06-07 16:12:12,2023-06-07 16:13:44,1m - 31.972s,FAILED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Request_Demosite,Firefox 114.0,,,2023-06-07 16:12:53,2023-06-07 16:13:04,11.131s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 114.0,,,2023-06-07 16:12:53,2023-06-07 16:12:56,3.384s,ERROR
"openBrowser("""")",Firefox 114.0,,,2023-06-07 16:12:56,2023-06-07 16:13:03,6.617s,PASSED
navigateToUrl(Saucedemo),Firefox 114.0,,,2023-06-07 16:13:03,2023-06-07 16:13:03,0.039s,FAILED
Start listener action : sampleAfterTestCase,Firefox 114.0,,,2023-06-07 16:13:03,2023-06-07 16:13:04,1.002s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Addtocart,Firefox 114.0,,,2023-06-07 16:13:34,2023-06-07 16:13:44,9.832s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 114.0,,,2023-06-07 16:13:34,2023-06-07 16:13:38,3.843s,ERROR
"openBrowser("""")",Firefox 114.0,,,2023-06-07 16:13:38,2023-06-07 16:13:43,4.803s,PASSED
navigateToUrl(Saucedemo),Firefox 114.0,,,2023-06-07 16:13:43,2023-06-07 16:13:43,0.034s,FAILED
Start listener action : sampleAfterTestCase,Firefox 114.0,,,2023-06-07 16:13:43,2023-06-07 16:13:44,1.082s,PASSED
