Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-08 15:31:39,2023-06-08 15:32:48,1m - 8.810s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-08 15:31:39,2023-06-08 15:32:17,37.903s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-08 15:31:40,2023-06-08 15:31:41,1.654s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-08 15:31:41,2023-06-08 15:31:42,0.448s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-08 15:31:42,2023-06-08 15:31:42,0.501s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-08 15:31:42,2023-06-08 15:31:44,2.123s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-08 15:31:44,2023-06-08 15:31:46,2.017s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-08 15:31:46,2023-06-08 15:31:47,0.508s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-08 15:31:47,2023-06-08 15:31:47,0.372s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-08 15:31:47,2023-06-08 15:31:55,7.727s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Sauce Labs Cross Browser Testing, Sele_e8ee84/button_Request a demo""))",Chrome 110.0.0.0,,,2023-06-08 15:31:55,2023-06-08 15:31:58,2.827s,PASSED
"setText(findTestObject(""Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__FirstName""), Firstname)",Chrome 110.0.0.0,,,2023-06-08 15:31:58,2023-06-08 15:32:01,2.711s,PASSED
"verifyElementAttributeValue(findTestObject(""Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__FirstName""), ""value"", Firstname, 1)",Chrome 110.0.0.0,,,2023-06-08 15:32:01,2023-06-08 15:32:01,0.676s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__LastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-08 15:32:01,2023-06-08 15:32:02,0.628s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__LastName""), ""value"", Lastname, 1)",Chrome 110.0.0.0,,,2023-06-08 15:32:02,2023-06-08 15:32:02,0.566s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), Email1)",Chrome 110.0.0.0,,,2023-06-08 15:32:02,2023-06-08 15:32:03,0.753s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), ""value"", Email1, 1)",Chrome 110.0.0.0,,,2023-06-08 15:32:03,2023-06-08 15:32:04,0.567s,PASSED
