Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-07 14:44:13,2023-06-07 14:44:26,13.003s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Addtocart,Chrome 110.0.0.0,,,2023-06-07 14:44:14,2023-06-07 14:44:26,12.848s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-07 14:44:14,2023-06-07 14:44:16,1.873s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-07 14:44:16,2023-06-07 14:44:16,0.453s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-07 14:44:16,2023-06-07 14:44:17,0.641s,PASSED
com.Saucedemo_Login.Login(),Chrome 110.0.0.0,,,2023-06-07 14:44:17,2023-06-07 14:44:19,2.055s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart""))",Chrome 110.0.0.0,,,2023-06-07 14:44:19,2023-06-07 14:44:19,0.497s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart_1""))",Chrome 110.0.0.0,,,2023-06-07 14:44:19,2023-06-07 14:44:20,0.580s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/a_2""))",Chrome 110.0.0.0,,,2023-06-07 14:44:20,2023-06-07 14:44:21,0.601s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Remove""))",Chrome 110.0.0.0,,,2023-06-07 14:44:21,2023-06-07 14:44:21,0.579s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Checkout""))",Chrome 110.0.0.0,,,2023-06-07 14:44:21,2023-06-07 14:44:22,0.580s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_firstName""), Firstname)",Chrome 110.0.0.0,,,2023-06-07 14:44:22,2023-06-07 14:44:23,0.934s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_lastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-07 14:44:23,2023-06-07 14:44:24,1.038s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_postalCode""), Pincode)",Chrome 110.0.0.0,,,2023-06-07 14:44:24,2023-06-07 14:44:25,0.927s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Cancel_continue""))",Chrome 110.0.0.0,,,2023-06-07 14:44:25,2023-06-07 14:44:25,0.581s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Finish""))",Chrome 110.0.0.0,,,2023-06-07 14:44:25,2023-06-07 14:44:26,0.579s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Back Home""))",Chrome 110.0.0.0,,,2023-06-07 14:44:26,2023-06-07 14:44:26,0.584s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-07 14:44:26,2023-06-07 14:44:26,0.076s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-07 14:44:26,2023-06-07 14:44:26,0.003s,PASSED
