Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Login_Data,Chrome 110.0.0.0,,,2023-06-09 16:02:44,2023-06-09 16:02:57,13.459s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 16:02:44,2023-06-09 16:02:45,1.439s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 110.0.0.0,,,2023-06-09 16:02:45,2023-06-09 16:02:46,0.583s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Accepted usernames arestandard_userlock_0ab16f""))",Chrome 110.0.0.0,,,2023-06-09 16:02:46,2023-06-09 16:02:46,0.454s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 110.0.0.0,,,2023-06-09 16:02:46,2023-06-09 16:02:47,0.915s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Password for all userssecret_sauce""))",Chrome 110.0.0.0,,,2023-06-09 16:02:47,2023-06-09 16:02:47,0.430s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 110.0.0.0,,,2023-06-09 16:02:47,2023-06-09 16:02:48,0.931s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 110.0.0.0,,,2023-06-09 16:02:48,2023-06-09 16:02:54,5.593s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-09 16:02:54,2023-06-09 16:02:57,3.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-09 16:02:57,2023-06-09 16:02:57,0.084s,PASSED
