Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-12 10:37:38,2023-06-12 10:39:08,1m - 30.626s,FAILED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-12 10:37:38,2023-06-12 10:38:28,50.230s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-12 10:37:38,2023-06-12 10:37:39,1.117s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-06-12 10:37:39,2023-06-12 10:37:39,0.128s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-12 10:37:39,2023-06-12 10:37:40,0.603s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-12 10:37:40,2023-06-12 10:37:42,2.344s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-12 10:37:42,2023-06-12 10:37:45,3.025s,PASSED
"getUrl().equals(""https://www.saucedemo.com/inventory.html"")",Chrome 110.0.0.0,,,2023-06-12 10:37:45,2023-06-12 10:37:45,0.014s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-12 10:37:45,2023-06-12 10:37:46,0.525s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-12 10:37:46,2023-06-12 10:37:46,0.492s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-12 10:37:46,2023-06-12 10:37:50,3.630s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Sauce Labs Cross Browser Testing, Sele_e8ee84/button_Request a demo""))",Chrome 110.0.0.0,,,2023-06-12 10:37:50,2023-06-12 10:37:56,6.131s,PASSED
"str = ""FirstName""",Chrome 110.0.0.0,,,2023-06-12 10:37:56,2023-06-12 10:37:56,0.000s,PASSED
"Firstname = findTestObject(""Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__FirstName"", [""Empid"":str])",Chrome 110.0.0.0,,,2023-06-12 10:37:56,2023-06-12 10:37:56,0.143s,PASSED
"setText(Firstname, ""Kunj"")",Chrome 110.0.0.0,,,2023-06-12 10:37:56,2023-06-12 10:38:01,4.530s,PASSED
"setText(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__LastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-12 10:38:01,2023-06-12 10:38:03,2.363s,PASSED
"setText(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), Email1)",Chrome 110.0.0.0,,,2023-06-12 10:38:03,2023-06-12 10:38:05,1.471s,PASSED
"setText(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__Company""), Company)",Chrome 110.0.0.0,,,2023-06-12 10:38:05,2023-06-12 10:38:06,0.847s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Request a Sauce Labs Demo/select_Select.AfghanistanAlbaniaAlgeriaAndo_2e5989""), ""India"", true)",Chrome 110.0.0.0,,,2023-06-12 10:38:06,2023-06-12 10:38:09,3.071s,PASSED
"setText(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__Phone""), Phonenumber)",Chrome 110.0.0.0,,,2023-06-12 10:38:09,2023-06-12 10:38:10,1.000s,PASSED
