Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-12 11:01:20,2023-06-12 11:02:38,1m - 18.230s,PASSED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-12 11:01:20,2023-06-12 11:02:04,43.866s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-12 11:01:21,2023-06-12 11:01:22,1.065s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-06-12 11:01:22,2023-06-12 11:01:22,0.137s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-12 11:01:22,2023-06-12 11:01:23,0.634s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-12 11:01:23,2023-06-12 11:01:25,2.399s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-12 11:01:25,2023-06-12 11:01:28,3.021s,PASSED
"getUrl().equals(""https://www.saucedemo.com/inventory.html"")",Chrome 110.0.0.0,,,2023-06-12 11:01:28,2023-06-12 11:01:28,0.013s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-12 11:01:28,2023-06-12 11:01:29,0.533s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-12 11:01:29,2023-06-12 11:01:29,0.483s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-12 11:01:29,2023-06-12 11:01:33,3.529s,PASSED
