Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-09 15:58:58,2023-06-09 16:01:54,2m - 56.094s,PASSED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-09 16:00:13,2023-06-09 16:01:04,50.706s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 16:00:13,2023-06-09 16:00:14,0.827s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-09 16:00:14,2023-06-09 16:00:15,0.432s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-06-09 16:00:15,2023-06-09 16:00:15,0.109s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-09 16:00:15,2023-06-09 16:00:15,0.465s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-09 16:00:15,2023-06-09 16:00:17,1.851s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-09 16:00:17,2023-06-09 16:00:20,3.002s,PASSED
"getUrl().equals(""https://www.saucedemo.com/inventory.html"")",Chrome 110.0.0.0,,,2023-06-09 16:00:20,2023-06-09 16:00:20,0.012s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-09 16:00:20,2023-06-09 16:00:21,0.558s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-09 16:00:21,2023-06-09 16:00:21,0.423s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-09 16:00:21,2023-06-09 16:00:26,4.930s,PASSED
