Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-12 10:34:59,2023-06-12 10:36:29,1m - 30.152s,FAILED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-12 10:34:59,2023-06-12 10:35:49,49.673s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-12 10:35:00,2023-06-12 10:35:01,1.230s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-06-12 10:35:01,2023-06-12 10:35:01,0.134s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-12 10:35:01,2023-06-12 10:35:02,1.200s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-12 10:35:02,2023-06-12 10:35:05,2.382s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-12 10:35:05,2023-06-12 10:35:08,3.027s,PASSED
"getUrl().equals(""https://www.saucedemo.com/inventory.html"")",Chrome 110.0.0.0,,,2023-06-12 10:35:08,2023-06-12 10:35:08,0.014s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-12 10:35:08,2023-06-12 10:35:08,0.519s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-12 10:35:08,2023-06-12 10:35:08,0.380s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-12 10:35:08,2023-06-12 10:35:12,3.399s,PASSED
"click(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Sauce Labs Cross Browser Testing, Sele_e8ee84/button_Request a demo""))",Chrome 110.0.0.0,,,2023-06-12 10:35:12,2023-06-12 10:35:18,6.534s,PASSED
"str = ""FirstName""",Chrome 110.0.0.0,,,2023-06-12 10:35:18,2023-06-12 10:35:18,0.001s,PASSED
"Firstname = findTestObject(""Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__FirstName"", [""Empid"":str])",Chrome 110.0.0.0,,,2023-06-12 10:35:18,2023-06-12 10:35:19,0.178s,PASSED
"setText(Firstname, ""Kunj"")",Chrome 110.0.0.0,,,2023-06-12 10:35:19,2023-06-12 10:35:22,3.427s,PASSED
"setText(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__LastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-12 10:35:22,2023-06-12 10:35:23,1.154s,PASSED
"setText(findTestObject(""Object Repository/Assignment/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), Email1)",Chrome 110.0.0.0,,,2023-06-12 10:35:23,2023-06-12 10:35:24,1.267s,PASSED
