Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-09 11:26:59,2023-06-09 11:28:47,1m - 47.794s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-09 11:26:59,2023-06-09 11:27:57,57.819s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 11:26:59,2023-06-09 11:27:06,6.604s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-09 11:27:06,2023-06-09 11:27:07,0.576s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-09 11:27:07,2023-06-09 11:27:08,1.555s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-09 11:27:08,2023-06-09 11:27:11,2.244s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-09 11:27:11,2023-06-09 11:27:14,3.018s,PASSED
"getUrl().equals(""https://www.saucedemo.com/inventory.html"")",Chrome 110.0.0.0,,,2023-06-09 11:27:14,2023-06-09 11:27:14,0.012s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-09 11:27:14,2023-06-09 11:27:14,0.419s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-09 11:27:14,2023-06-09 11:27:15,0.478s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-09 11:27:15,2023-06-09 11:27:22,7.711s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Sauce Labs Cross Browser Testing, Sele_e8ee84/button_Request a demo""))",Chrome 110.0.0.0,,,2023-06-09 11:27:22,2023-06-09 11:27:26,3.291s,PASSED
"str = ""FirstName""",Chrome 110.0.0.0,,,2023-06-09 11:27:26,2023-06-09 11:27:26,0.001s,PASSED
"Firstname = findTestObject(""Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__FirstName"", [""Empid"":str])",Chrome 110.0.0.0,,,2023-06-09 11:27:26,2023-06-09 11:27:26,0.126s,PASSED
"setText(Firstname, ""Kunj"")",Chrome 110.0.0.0,,,2023-06-09 11:27:26,2023-06-09 11:27:29,3.411s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__LastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-09 11:27:29,2023-06-09 11:27:31,1.372s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), Email1)",Chrome 110.0.0.0,,,2023-06-09 11:27:31,2023-06-09 11:27:32,1.075s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Company""), Company)",Chrome 110.0.0.0,,,2023-06-09 11:27:32,2023-06-09 11:27:33,1.552s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/select_Select.AfghanistanAlbaniaAlgeriaAndo_2e5989""), ""India"", true)",Chrome 110.0.0.0,,,2023-06-09 11:27:33,2023-06-09 11:27:36,2.794s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Phone""), Phonenumber)",Chrome 110.0.0.0,,,2023-06-09 11:27:36,2023-06-09 11:27:37,0.948s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/select_Select.Sauce Cross-BrowserSauce Mobi_6b7086""), ""Cross-Browser Testing"", true)",Chrome 110.0.0.0,,,2023-06-09 11:27:37,2023-06-09 11:27:38,1.103s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/textarea__Sales_Contact_Comments__c""), ""none"")",Chrome 110.0.0.0,,,2023-06-09 11:27:38,2023-06-09 11:27:39,0.918s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/label_Please check this box if youd like to_15e628""))",Chrome 110.0.0.0,,,2023-06-09 11:27:39,2023-06-09 11:27:40,0.585s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/button_Submit""))",Chrome 110.0.0.0,,,2023-06-09 11:27:40,2023-06-09 11:27:40,0.594s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/span_Company details""))",Chrome 110.0.0.0,,,2023-06-09 11:27:40,2023-06-09 11:27:45,5.046s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), Email2)",Chrome 110.0.0.0,,,2023-06-09 11:27:45,2023-06-09 11:27:46,1.177s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/input__Email""), ""value"", Email2, 0)",Chrome 110.0.0.0,,,2023-06-09 11:27:46,2023-06-09 11:27:47,0.582s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Request a Sauce Labs Demo/button_Submit""))",Chrome 110.0.0.0,,,2023-06-09 11:27:47,2023-06-09 11:27:50,2.717s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-06-09 11:27:50,2023-06-09 11:27:55,5.003s,PASSED
"verifyTextPresent(""Thank you for your request."", false)",Chrome 110.0.0.0,,,2023-06-09 11:27:55,2023-06-09 11:27:55,0.416s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-09 11:27:55,2023-06-09 11:27:57,2.003s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-09 11:27:57,2023-06-09 11:27:57,0.086s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-09 11:27:57,2023-06-09 11:27:57,0.004s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Addtocart,Chrome 110.0.0.0,,,2023-06-09 11:27:57,2023-06-09 11:28:21,23.397s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 11:27:57,2023-06-09 11:27:58,0.797s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-09 11:27:58,2023-06-09 11:27:59,0.431s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-09 11:27:59,2023-06-09 11:27:59,0.475s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-09 11:27:59,2023-06-09 11:28:01,2.250s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-09 11:28:01,2023-06-09 11:28:04,3.001s,PASSED
"getUrl().equals(""https://www.saucedemo.com/inventory.html"")",Chrome 110.0.0.0,,,2023-06-09 11:28:04,2023-06-09 11:28:04,0.007s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart""))",Chrome 110.0.0.0,,,2023-06-09 11:28:04,2023-06-09 11:28:05,0.368s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Add to cart_1""))",Chrome 110.0.0.0,,,2023-06-09 11:28:05,2023-06-09 11:28:05,0.569s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/a_2""))",Chrome 110.0.0.0,,,2023-06-09 11:28:05,2023-06-09 11:28:06,0.579s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Remove""))",Chrome 110.0.0.0,,,2023-06-09 11:28:06,2023-06-09 11:28:06,0.566s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Checkout""))",Chrome 110.0.0.0,,,2023-06-09 11:28:06,2023-06-09 11:28:07,0.469s,PASSED
"verifyTextPresent(""Checkout: Your Information"", false)",Chrome 110.0.0.0,,,2023-06-09 11:28:07,2023-06-09 11:28:07,0.540s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_firstName""), Firstname)",Chrome 110.0.0.0,,,2023-06-09 11:28:07,2023-06-09 11:28:08,0.808s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_firstName""), ""value"", Firstname, 1)",Chrome 110.0.0.0,,,2023-06-09 11:28:08,2023-06-09 11:28:09,0.450s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_lastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-09 11:28:09,2023-06-09 11:28:09,0.711s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_lastName""), ""value"", Lastname, 1)",Chrome 110.0.0.0,,,2023-06-09 11:28:09,2023-06-09 11:28:10,0.559s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_postalCode""), Pincode)",Chrome 110.0.0.0,,,2023-06-09 11:28:10,2023-06-09 11:28:11,0.912s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""value"", Pincode, 1)",Chrome 110.0.0.0,,,2023-06-09 11:28:11,2023-06-09 11:28:11,0.552s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-09 11:28:11,2023-06-09 11:28:13,2.002s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Cancel_continue""))",Chrome 110.0.0.0,,,2023-06-09 11:28:13,2023-06-09 11:28:14,0.371s,PASSED
"verifyTextPresent(""Payment Information"", false)",Chrome 110.0.0.0,,,2023-06-09 11:28:14,2023-06-09 11:28:14,0.537s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Finish""))",Chrome 110.0.0.0,,,2023-06-09 11:28:14,2023-06-09 11:28:15,0.366s,PASSED
"verifyTextPresent(""Thank you for your order!"", false)",Chrome 110.0.0.0,,,2023-06-09 11:28:15,2023-06-09 11:28:15,0.432s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Back Home""))",Chrome 110.0.0.0,,,2023-06-09 11:28:15,2023-06-09 11:28:15,0.371s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-06-09 11:28:15,2023-06-09 11:28:20,5.002s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-09 11:28:20,2023-06-09 11:28:21,0.070s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-09 11:28:21,2023-06-09 11:28:21,0.002s,PASSED
,,,,,,,
Test Cases/Day-2/Alerts/Alerts,Chrome 110.0.0.0,,,2023-06-09 11:28:21,2023-06-09 11:28:47,26.355s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 11:28:21,2023-06-09 11:28:21,0.796s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-09 11:28:22,2023-06-09 11:28:22,0.418s,PASSED
navigateToUrl(Alert),Chrome 110.0.0.0,,,2023-06-09 11:28:22,2023-06-09 11:28:28,5.790s,PASSED
"click(findTestObject(""Object Repository/Day-2/Alerts/Page_Alerts/a_Alert with OK""))",Chrome 110.0.0.0,,,2023-06-09 11:28:28,2023-06-09 11:28:28,0.486s,PASSED
"click(findTestObject(""Object Repository/Day-2/Alerts/Page_Alerts/button_click the button to display an  alert box""))",Chrome 110.0.0.0,,,2023-06-09 11:28:28,2023-06-09 11:28:29,0.474s,PASSED
waitForAlert(5),Chrome 110.0.0.0,,,2023-06-09 11:28:29,2023-06-09 11:28:29,0.011s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-09 11:28:29,2023-06-09 11:28:31,2.002s,PASSED
acceptAlert(),Chrome 110.0.0.0,,,2023-06-09 11:28:31,2023-06-09 11:28:31,0.011s,PASSED
"click(findTestObject(""Object Repository/Day-2/Alerts/Page_Alerts/a_Alert with OK  Cancel""))",Chrome 110.0.0.0,,,2023-06-09 11:28:31,2023-06-09 11:28:31,0.370s,PASSED
"click(findTestObject(""Object Repository/Day-2/Alerts/Page_Alerts/button_click the button to display a confirm box""))",Chrome 110.0.0.0,,,2023-06-09 11:28:31,2023-06-09 11:28:32,0.569s,PASSED
waitForAlert(5),Chrome 110.0.0.0,,,2023-06-09 11:28:32,2023-06-09 11:28:32,0.004s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-09 11:28:32,2023-06-09 11:28:34,2.001s,PASSED
acceptAlert(),Chrome 110.0.0.0,,,2023-06-09 11:28:34,2023-06-09 11:28:34,0.008s,PASSED
"click(findTestObject(""Object Repository/Day-2/Alerts/Page_Alerts/a_Alert with OK  Cancel""))",Chrome 110.0.0.0,,,2023-06-09 11:28:34,2023-06-09 11:28:34,0.564s,PASSED
"click(findTestObject(""Object Repository/Day-2/Alerts/Page_Alerts/button_click the button to display a confirm box""))",Chrome 110.0.0.0,,,2023-06-09 11:28:34,2023-06-09 11:28:35,0.458s,PASSED
waitForAlert(5),Chrome 110.0.0.0,,,2023-06-09 11:28:35,2023-06-09 11:28:35,0.004s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-09 11:28:35,2023-06-09 11:28:37,2.001s,PASSED
dismissAlert(),Chrome 110.0.0.0,,,2023-06-09 11:28:37,2023-06-09 11:28:37,0.016s,PASSED
"click(findTestObject(""Object Repository/Day-2/Alerts/Page_Alerts/a_Alert with Textbox""))",Chrome 110.0.0.0,,,2023-06-09 11:28:37,2023-06-09 11:28:37,0.575s,PASSED
