Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM,Chrome 110.0.0.0,,,2023-06-07 16:10:15,2023-06-07 16:12:07,1m - 52.002s,PASSED
,,,,,,,
Test Cases/Day-2/OrangeHRM/OrangeHRM_Post,Chrome 110.0.0.0,,,2023-06-07 16:10:16,2023-06-07 16:10:41,25.304s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-07 16:10:16,2023-06-07 16:10:20,3.914s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-07 16:10:20,2023-06-07 16:10:21,1.221s,PASSED
navigateToUrl(OrangeHRM),Chrome 110.0.0.0,,,2023-06-07 16:10:21,2023-06-07 16:10:29,7.774s,PASSED
com.OrangeHRM_Login.Login(),Chrome 110.0.0.0,,,2023-06-07 16:10:29,2023-06-07 16:10:34,4.739s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/a_Buzz""))",Chrome 110.0.0.0,,,2023-06-07 16:10:34,2023-06-07 16:10:37,3.253s,PASSED
"setText(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/textarea_Upcoming Anniversaries_oxd-buzz-po_ec78b5""), ""Nothing Much"")",Chrome 110.0.0.0,,,2023-06-07 16:10:37,2023-06-07 16:10:39,2.014s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/button_Share Photos""))",Chrome 110.0.0.0,,,2023-06-07 16:10:39,2023-06-07 16:10:40,0.473s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/div_Add Photos""))",Chrome 110.0.0.0,,,2023-06-07 16:10:40,2023-06-07 16:10:40,0.635s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/button_Share""))",Chrome 110.0.0.0,,,2023-06-07 16:10:40,2023-06-07 16:10:41,0.465s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-07 16:10:41,2023-06-07 16:10:41,0.123s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-07 16:10:41,2023-06-07 16:10:41,0.014s,PASSED
,,,,,,,
Test Cases/Day-2/OrangeHRM/OrangeHRM_MyInfo,Chrome 110.0.0.0,,,2023-06-07 16:10:41,2023-06-07 16:12:07,1m - 26.339s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-07 16:10:41,2023-06-07 16:10:43,1.506s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-07 16:10:43,2023-06-07 16:10:44,0.843s,PASSED
navigateToUrl(OrangeHRM),Chrome 110.0.0.0,,,2023-06-07 16:10:44,2023-06-07 16:10:53,9.714s,PASSED
com.OrangeHRM_Login.Login(),Chrome 110.0.0.0,,,2023-06-07 16:10:53,2023-06-07 16:10:57,3.813s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/a_My Info""))",Chrome 110.0.0.0,,,2023-06-07 16:10:57,2023-06-07 16:11:03,5.344s,PASSED
"setText(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/input_Employee Full Name_firstName""), Firstname)",Chrome 110.0.0.0,,,2023-06-07 16:11:03,2023-06-07 16:11:05,2.382s,PASSED
"setText(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/input_Employee Full Name_middleName""), Middlename)",Chrome 110.0.0.0,,,2023-06-07 16:11:05,2023-06-07 16:11:06,0.948s,PASSED
"setText(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/input_Employee Full Name_lastName""), Lastname)",Chrome 110.0.0.0,,,2023-06-07 16:11:06,2023-06-07 16:11:07,0.847s,PASSED
"setText(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/input_Employee Id_oxd-input oxd-input--focus""), EmployeeId)",Chrome 110.0.0.0,,,2023-06-07 16:11:07,2023-06-07 16:11:08,0.931s,PASSED
"com.OrangeHRM_Login.Waitforclick(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/p_Successfully Updated"", 5)",Chrome 110.0.0.0,,,2023-06-07 16:11:08,2023-06-07 16:11:48,39.877s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/i_-- Select --_oxd-icon bi-caret-up-fill ox_627fec""))",Chrome 110.0.0.0,,,2023-06-07 16:11:48,2023-06-07 16:11:48,0.580s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/div_A""))",Chrome 110.0.0.0,,,2023-06-07 16:11:48,2023-06-07 16:11:49,0.590s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/button_Save""))",Chrome 110.0.0.0,,,2023-06-07 16:11:49,2023-06-07 16:11:49,0.444s,PASSED
"com.OrangeHRM_Login.Waitforclick(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/p_Successfully Updated"", 5)",Chrome 110.0.0.0,,,2023-06-07 16:11:49,2023-06-07 16:12:04,15.229s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_MyInfo/Page_OrangeHRM/button_Save""))",Chrome 110.0.0.0,,,2023-06-07 16:12:04,2023-06-07 16:12:07,2.700s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-07 16:12:07,2023-06-07 16:12:07,0.127s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-07 16:12:07,2023-06-07 16:12:07,0.007s,PASSED
